Seeding,Team Name,Points,,,,,,,,,,,,
1,Airborne,952,,,,,,,,,,,,
2,Spinergy,941,,Pool A,,Seed,W,L,,Pool B,,Seed,W,L
3,Airbenders One,838,,A1,Airborne,1,2,,,B1,Spinergy,2,,
4,Flywild,767,,A2,Stall7,6,0,,,B2,Air Traffic Control,5,,
5,Air Traffic Control,899,,A3,Flying Spirits,12,1,,,B3,StormChasers,11,,
6,Stall7,884,,,,,,,,,,,,
7,Learning to Fly,874,,,,,,,,,,,,
8,GK Mad,846,,Pool C,,Seed,W,L,,Pool D,,Seed,W,L
9,Ambush UC,835,,C1,Airbenders One,3,,,,D1,Flywild,4,,
10,Stray Dogs In Sweaters,780,,C2,GK Mad,8,,,,D2,Learning to Fly,7,,
11,StormChasers,736,,C3,Stray Dogs In Sweaters,10,,,,D3,Ambush UC,9,,
12,Flying Spirits,712,,,,,,,,,,,,
13,Jumbish Fire,652,,,,,,,,,,,,
14,No Fly Zone,644,,Pool E,,Seed,W,L,,Pool F,,Seed,W,L
15,Jumbish catchers,446,,E1,Jumbish Fire,13,,,,F1,No Fly Zone,14,,
16,Puyal,414,,E2,Lucknow Scorpions,19,,,,F2,Udta Kebabs,20,,
17,Disc Positive,371,,E3,Blades,24,,,,F3,Morning Star,23,,
18,Bye,N/A,,,,,,,,,,,,
19,Lucknow Scorpions,339,,Pool G,,Seed,W,L,,Pool H,,Seed,W,L
20,Udta Kebabs,318,,G1,Jumbish catchers,15,,,,H1,Puyal,16,,
21,Itaunja Pilots,287,,G2,Disc Positive,17,,,,H2,Bye,18,0,2
22,Night Crawlers,215,,G3,Night Crawlers,22,,,,H3,Itaunja Pilots,21,,
23,Morning Star,129,,,,,,,,,,,,
24,Blades,N/A,,,,,,,,,,,,